,Facility.Name,Facility.City,Facility.State,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging
2157,Cambridge Medical Center,Cambridge,MN,Private,4,Same,Same,Above,Above,Same,Same,Same
2158,Sanford Worthington Medical Center,Worthington,MN,Private,3,Same,Same,Same,Same,Same,Above,Same
2159,Douglas County Hospital,Alexandria,MN,Government,5,Same,Above,Above,Above,Above,Above,Same
2160,St Cloud Hospital,Saint Cloud,MN,Private,5,Above,Above,Above,Above,Same,Same,Same
2161,United Hospital,Saint Paul,MN,Private,4,Same,Above,Below,Above,Same,Same,Same
2162,University Medical Center-mesabi/ Mesaba Clinics,Hibbing,MN,Unknown,4,Same,,Above,Above,Same,Same,Same
2163,Mayo Clinic Health System - Albert Lea And Austin,Albert Lea,MN,Private,5,Above,Above,Above,Same,Same,Same,Same
2164,Winona Health Services,Winona,MN,Private,3,Same,Same,Below,Same,Same,Above,Same
2165,St Lukes Hospital,Duluth,MN,Private,3,Same,Below,Above,Above,Same,Above,Same
2166,Fairview Lakes Medical Center,Wyoming,MN,Private,4,Same,Above,Below,Above,Same,Same,Same
2167,Lake Region Healthcare Corporation,Fergus Falls,MN,Private,4,Same,Same,Same,Above,Same,Above,Same
2168,Park Nicollet Methodist Hospital,Saint Louis Park,MN,Private,3,Above,Below,Below,Above,Above,Same,Above
2169,Ridgeview Medical Center,Waconia,MN,Private,3,Same,Below,Above,Above,Same,Same,Same
2170,Abbott Northwestern Hospital,Minneapolis,MN,Private,4,Same,Same,Above,Above,Same,Same,Same
2171,Regina Hospital,Hastings,MN,Church,4,Same,Same,Same,Above,Same,Above,
2172,St Joseph's Hospital,Saint Paul,MN,Private,2,Same,Below,Above,Below,Same,Same,Same
2173,Grand Itasca Clinic And Hospital,Grand Rapids,MN,Private,4,Same,Same,Above,Above,Same,Same,Same
2174,Lakeview Memorial Hospital,Stillwater,MN,Private,5,Same,Same,Above,Above,Same,Same,Same
2175,Owatonna Hospital,Owatonna,MN,Unknown,4,Same,Same,Above,Above,Same,Same,
2176,District One Hospital,Faribault,MN,Private,4,Same,Same,Same,Above,Same,Same,Same
2177,Essentia Health St Joseph's Medical Center,Brainerd,MN,Private,4,Same,Below,Same,Above,Same,Above,Same
2178,Buffalo Hospital,Buffalo,MN,Unknown,4,Same,Same,Same,Above,Same,Above,Same
2179,Fairview Southdale Hospital,Edina,MN,Unknown,5,Same,Above,Above,Same,Above,Above,Same
2180,"University Of Minnesota  Medical Center, Fairview",Minneapolis,MN,Private,3,Same,Above,Below,Same,Same,Below,Above
2181,Essentia Health Virginia,Virginia,MN,Government,3,Same,Same,Above,Same,Same,Above,
2182,Carris Health Llc,Willmar,MN,Government,3,Same,Same,Above,Same,Same,Same,
2183,Mayo Clinic Health System - Mankato,Mankato,MN,Private,4,Same,Above,Above,Same,Same,Above,Same
2184,Sanford Bemidji Medical Center,Bemidji,MN,Private,2,Same,Below,Above,Below,Same,Same,Same
2185,Essentia Health St Marys - Detroit Lakes,Detroit Lakes,MN,Church,4,Same,Above,Same,Above,Same,Same,
2186,St Francis Regional Medical Center,Shakopee,MN,Church,4,Same,Above,Below,Above,Same,Same,Same
2187,Regions Hospital,Saint Paul,MN,Private,3,Same,Above,Below,Same,Same,Same,Same
2188,Mercy Hospital,Coon Rapids,MN,Private,4,Same,Above,Below,Same,Same,Below,Above
2189,Fairview Northland Regional Hospital,Princeton,MN,Unknown,4,Same,Same,Same,Above,Same,Same,
2190,Mayo Clinic Health System - Fairmont,Fairmont,MN,Private,3,Same,Same,Same,Same,Same,Above,
2191,Hutchinson Health,Hutchinson,MN,Private,4,Same,Same,Same,Above,Same,Above,
2192,Phillips Eye Institute,Minneapolis,MN,Government,-1,,,,,,,
2193,Red Lake Hospital A,Redlake,MN,Government,-1,,,,,,,
2194,Fairview Ridges Hospital,Burnsville,MN,Church,5,Same,Above,Above,Same,Same,Same,Above
2195,Healtheast St John's Hospital,Maplewood,MN,Private,2,Same,Below,Above,Same,Same,Same,Above
2196,Healtheast Woodwinds Hospital,Woodbury,MN,Private,4,Same,Below,Above,Above,Same,Same,Same
2197,Maple Grove Hospital,Maple Grove,MN,Private,4,Same,Same,Same,Above,Same,Above,Same
2198,Mahnomen Health Center,Mahnomen,MN,Government,-1,,,,,Same,Above,
2199,Lakewood Health Center,Baudette,MN,Church,-1,,,,,Same,Above,
2200,Sanford Westbrook Medical Center,Westbrook,MN,Private,-1,,,,,Same,Above,
2201,Sanford Tracy Medical Center,Tracy,MN,Private,-1,,,,,Same,Above,
2202,Sanford Medical Center Wheaton,Wheaton,MN,Private,-1,,,,,Same,Above,
2203,Riverwood Healthcare Center,Aitkin,MN,Private,4,Same,,Same,Above,Same,Above,
2204,Renville County Hospital And Clinics,Olivia,MN,Government,4,,,Same,Above,Same,Above,
2205,Lake View Memorial Hospital,Two Harbors,MN,Private,-1,,,Same,,,Same,
2206,Essentia Health Sandstone,Sandstone,MN,Private,-1,,,,,Same,Same,
2207,Ridgeview Sibley Medical Center,Arlington,MN,Private,-1,,,,,Same,Same,
2208,Cook Hospital,Cook,MN,Government,-1,,,,,Same,Above,
2209,Essentia Health Ada,Ada,MN,Private,-1,,,,,Same,Same,
2210,Johnson Memorial Hospital,Dawson,MN,Government,-1,,,,,,Above,
2211,Sanford Jackson Medical Center,Jackson,MN,Private,-1,,,,,Same,Above,
2212,Bigfork Valley Hospital,Bigfork,MN,Government,-1,,,,,,,
2213,North Shore Health,Grand Marais,MN,Government,-1,,,,,,Same,
2214,Ely Bloomenson Community Hospital,Ely,MN,Private,-1,,,,,,,
2215,Murray County Memorial Hospital,Slayton,MN,Government,4,,,Same,Above,Same,Above,
2216,Riverview Hospital,Crookston,MN,Private,4,,,Same,Above,Same,Above,Same
2217,Essentia Health Holy Trinity Hospital,Graceville,MN,Private,-1,,,,,Same,Same,
2218,Rainy Lake Medical Center,International Falls,MN,Private,-1,,,,,,Same,Same
2219,Madelia Community Hospital,Madelia,MN,Unknown,-1,,,,,,,
2220,Chippewa County Hospital,Montevideo,MN,Government,2,,,Same,Same,Same,Same,Same
2221,Centracare Health System - Long Prairie,Long Prairie,MN,Private,-1,,,,Above,Same,Above,
2222,Sleepy Eye Municipal Hospital,Sleepy Eye,MN,Government,-1,,,Same,,,Above,
2223,Sanford Bagley Medical Center,Bagley,MN,Private,-1,,,,,Same,Above,
2224,Lakewood Health System,Staples,MN,Unknown,4,,,Same,Above,Same,Above,
2225,Centracare Health System - Melrose Hospital,Melrose,MN,Private,4,,,Same,Above,Same,Above,Same
2226,Windom Area Hospital,Windom,MN,Government,3,,,Same,,Same,Above,Same
2227,Mayo Clinic Health System - St James,St James,MN,Unknown,-1,,,,,Same,Above,
2228,River's Edge Hospital & Clinic,St Peter,MN,Government,-1,,,,Above,Same,Above,
2229,St Elizabeth Medical Center,Wabasha,MN,Private,3,,,Same,,Same,Above,
2230,Kittson Memorial Hospital,Hallock,MN,Private,-1,,,,,,Same,
2231,North Valley Health Center,Warren,MN,Private,-1,,,,,,,
2232,Mayo Clinic Health System - Lake City,Lake City,MN,Private,-1,,,,,Same,Same,
2233,Hendricks Community Hospital,Hendricks,MN,Private,-1,,,,,,Same,
2234,Essentia Health Northern Pines Medical Center,Aurora,MN,Private,-1,,,,,Same,Same,
2235,Appleton Municipal Hospital,Appleton,MN,Government,-1,,,,,,,
2236,Ortonville Area Health Services,Ortonville,MN,Government,3,,,Same,,Same,Above,
2237,Municipal Hospital And Granite Manor,Granite Falls,MN,Government,-1,,,,Same,Same,Above,
2238,Lifecare Medical Center,Roseau,MN,Private,-1,,,,Above,Same,Above,
2239,Mayo Clinic Health System-waseca,Waseca,MN,Private,-1,,,,,Same,Above,
2240,Mayo Clinic Health System-cannon Falls,Cannon Falls,MN,Private,-1,,,,,Same,Above,
2241,Sanford Canby Medical Center,Canby,MN,Government,-1,,,,,Same,Above,
2242,Avera Tyler Hospital,Tyler,MN,Private,-1,,,,,,Above,
2243,Centra Care Health Paynesville,Paynesville,MN,Private,4,,,Same,Above,Same,Above,Same
2244,Mercy Hospital,Moose Lake,MN,Government,-1,,,,Above,Same,Above,
2245,Redwood Area Hospital,Redwood Falls,MN,Government,4,,,Same,Above,Same,Above,Same
2246,Mayo Clinic Health System-springfield,Springfield,MN,Private,-1,,,,,Same,Above,Same
2247,Cuyuna Regional Medical Center,Crosby,MN,Government,4,Same,,Same,Above,Same,Above,Same
2248,Tri County Hospital,Wadena,MN,Unknown,4,,,Same,Above,Same,Above,
2249,Glencoe Regional Health Services,Glencoe,MN,Private,4,,,Same,Above,Same,Above,
2250,Mille Lacs Health System,Onamia,MN,Private,3,,,Same,Same,Same,Above,
2251,Essentia Health Fosston,Fosston,MN,Private,-1,,,,,Same,Above,
2252,Cass Lake Indian Health Services Hospital,Cass Lake,MN,Government,-1,,,,,,,
2253,Avera Marshall Regional Medical Ctr,Marshall,MN,Private,3,Same,,Same,Same,Same,Above,Same
2254,Deer River Healthcare Center,Deer River,MN,Private,4,,,Same,,Same,Above,
2255,Mayo Clinic Health System-new Prague,New Prague,MN,Private,4,,,Same,Above,Same,Above,
2256,Centracare Health - Monticello,Monticello,MN,Private,-1,,,,Above,Same,Above,
2257,Stevens Community Medical Center,Morris,MN,Private,4,,,Above,Above,Same,Above,Same
2258,Community Memorial Hospital,Cloquet,MN,Private,4,Same,,Same,Above,,,
2259,Swift County Benson Hospital,Benson,MN,Government,-1,,,,Above,Same,Same,
2260,Meeker Memorial Hospital,Litchfield,MN,Government,-1,,,,Above,,,
2261,Firstlight Health System,Mora,MN,Government,4,Same,,Same,Above,Same,Same,Same
2262,Centracare Health System - Sauk Centre,Sauk Centre,MN,Private,-1,,,,Same,Same,Above,
2263,United Hospital District,Blue Earth,MN,Government,-1,,,,Above,Same,Above,
2264,St Gabriels Hospital,Little Falls,MN,Private,3,,,Same,Same,Same,Above,
2265,Sanford Luverne Medical Center,Luverne,MN,Private,-1,,,,,Same,Above,
2266,Madison Hospital,Madison,MN,Private,-1,,,,,Same,Above,
2267,Perham Health,Perham,MN,Government,4,,,Below,Above,Same,Above,Same
2268,Pipestone County  Medical Center,Pipestone,MN,Government,-1,,,,,Same,Same,
2269,Minnesota Valley Health Center  Inc,Le Sueur,MN,Private,-1,,,,,Same,Same,
2270,Glacial Ridge Hospital,Glenwood,MN,Government,4,,,Below,Above,Same,Above,
2271,St Francis Medical Center,Breckenridge,MN,Church,3,Same,,Same,,Same,Above,
2272,New Ulm Medical Center,New Ulm,MN,Private,4,Same,,Above,Above,Same,Same,Same
2273,Prairie Ridge Hospital And Health Services,Elbow Lake,MN,Private,-1,,,,,,,
2274,St Josephs Area  Health Services,Park Rapids,MN,Private,4,,,Same,Above,Same,Same,Same
2275,Sanford Medical Center Thief River Falls,Thief River Falls,MN,Private,3,,,Above,Same,Same,Above,
2276,Gillette Childrens Specialty Hospital,Saint Paul,MN,Government,-1,,,,,,,
2277,Children's Hospitals & Clinics Of Mn,Minneapolis,MN,Private,-1,,,,,,,
2278,Shriners Hospitals For Children - Twin Cities,Minneapolis,MN,Private,-1,,,,,,,
2279,University Of Mississippi Med Center,Jackson,MS,Government,1,Below,Below,Below,Below,Below,Below,Below
2280,Tishomingo Health Services Inc,Iuka,MS,Private,3,Same,,Below,,Same,Above,Same
2281,North Mississippi Medical Center,Tupelo,MS,Private,3,Below,Above,Above,Same,Same,Above,Same
2282,Baptist Memorial Hospital Union County,New Albany,MS,Unknown,5,Same,Same,Above,Above,Above,Above,Same
2283,Merit Health Biloxi,Biloxi,MS,Proprietary,2,Same,Same,Below,Below,Same,Same,Below
2284,Magnolia Regional Health Center,Corinth,MS,Unknown,2,Below,Below,Below,Above,Same,Above,Above
2285,Alliance Healthcare System,Holly Springs,MS,Unknown,2,Same,,Below,,Same,Same,
2286,Trace Regional Hosp And Swing Bed,Houston,MS,Proprietary,-1,,,,,,,
2287,Jasper General Hospital,Bay Springs,MS,Government,-1,,,,,,,
2288,Memorial Hospital At Gulfport,Gulfport,MS,Government,1,Below,Below,Below,Above,Same,Same,Below
2289,Webster General Hospital/ Swing Bed,Eupora,MS,Unknown,3,Same,,Below,Same,Same,Above,Same
2290,Gilmore Memorial Hospital,Amory,MS,Proprietary,3,Same,Above,Below,Above,Same,Above,Same
2291,Winston Medical Center & Swingbed,Louisville,MS,Private,-1,,,,,Same,Same,Same
2292,Merit Health River Region,Vicksburg,MS,Proprietary,1,Same,Below,Below,Below,Same,Below,Same
2293,Baptist Memorial Hospital North Ms,Oxford,MS,Private,2,Same,Same,Below,Same,Same,Above,Same
2294,George Regional Health System,Lucedale,MS,Government,3,Same,,Same,Above,Below,Same,Same
2295,Merit Health Madison,Canton,MS,Proprietary,2,Same,,Below,Below,Same,Same,
2296,Singing River Hospital,Pascagoula,MS,Government,2,Below,Below,Below,Below,Same,Same,Below
2297,Northwest Mississippi Medical Center,Clarksdale,MS,Proprietary,3,Same,Same,Below,Same,Same,Same,Same
2298,Neshoba County General Hospital,Philadelphia,MS,Government,2,Same,,Same,Same,Below,Above,Same
2299,Baptist Memorial Hospital Booneville,Booneville,MS,Church,3,Same,,Same,,Same,Above,Same
2300,St Dominic-jackson Memorial Hospital,Jackson,MS,Church,2,Same,Below,Below,Same,Below,Below,Same
2301,Beacham Memorial Hospital,Magnolia,MS,Proprietary,4,Same,,Same,Above,,,
2302,Och Regional Medical Center,Starkville,MS,Government,3,Same,Same,Above,Same,Same,Same,Below
2303,King's Daughters Medical Center-brookhaven,Brookhaven,MS,Unknown,2,Same,Same,Below,Above,Same,Same,Same
2304,South Central Reg Med Ctr,Laurel,MS,Government,3,Same,Above,Below,Same,Same,Above,Same
2305,Jefferson County Hospital,Fayette,MS,Government,-1,,,,,Same,Above,
2306,Yalobusha General Hospital,Water Valley,MS,Government,3,Same,,Same,Above,,,
2307,Clay County Medical Center,West Point,MS,Private,3,Same,,Same,Same,Same,Above,
2308,Rush Foundation Hospital,Meridian,MS,Private,2,Below,Below,Above,Below,Same,Same,Below
2309,Merit Health Central,Jackson,MS,Proprietary,2,Same,Below,Same,Below,Same,Below,Same
2310,Wayne General Hospital,Waynesboro,MS,Government,2,Same,,Below,Same,Below,Above,
2311,Forrest General Hospital,Hattiesburg,MS,Government,1,Below,Below,Below,Same,Below,Same,Above
2312,Sharkey Issaquena Community Hospital,Rolling Fork,MS,Government,-1,,,Same,,,,
2313,Anderson Rmc South,Meridian,MS,Proprietary,-1,,,,,,,
2314,Delta Regional Medical Center,Greenville,MS,Government,2,Same,Above,Below,Below,Same,Below,Same
2315,Merit Health Natchez,Natchez,MS,Proprietary,2,Below,Above,Same,Below,Same,Below,Below
2316,Marion General Hospital,Columbia,MS,Unknown,3,Same,,Same,Same,Same,Above,Same
2317,Bolivar Medical Center,Cleveland,MS,Proprietary,2,Same,,Below,Above,Below,Above,Same
2318,Merit Health Wesley,Hattiesburg,MS,Private,2,Same,Below,Below,Same,Same,Above,Same
2319,South Sunflower County Hospital,Indianola,MS,Government,3,Same,,Above,,Below,Above,Same
2320,Merit Health Rankin,Brandon,MS,Proprietary,3,Same,,Below,Below,Same,Above,
2321,Southwest Ms Regional Medical Center,Mccomb,MS,Government,2,Same,Same,Above,Below,Same,Above,Same
2322,Greenwood Leflore Hospital,Greenwood,MS,Government,2,Same,Below,Below,Below,Same,Same,Same
2323,Baptist Mem Hosp/ Golden Triangle Inc,Columbus,MS,Private,2,Below,Above,Below,Same,Above,Above,Below
2324,Mississippi Baptist Medical Center,Jackson,MS,Private,3,Above,Same,Below,Above,Below,Same,Above
2325,Anderson Regional Medical Ctr,Meridian,MS,Private,1,Below,Below,Below,Same,Same,Same,Below
2326,Highland Community  Hospital,Picayune,MS,Government,2,Same,,Below,Same,Same,Same,Same
2327,Garden Park Medical Center,Gulfport,MS,Proprietary,2,Same,Above,Below,Same,Same,Above,Same
2328,Magee General Hospital,Magee,MS,Government,3,Same,,Above,Above,Below,Above,
2329,North Oak Regional Medical Center,Senatobia,MS,Proprietary,3,Same,,Same,,Same,Above,Same
2330,Choctaw Health Center,Philadelphia,MS,Government,-1,,,,,,,
2331,Panola Medical Center,Batesville,MS,Proprietary,2,Same,,Below,Same,Same,Above,Below
2332,Whitfield Medical Surgical Hospital,Whitfield,MS,Government,-1,,,,,,,
2333,Merit Health Women's Hospital,Flowood,MS,Proprietary,-1,,,,Above,Same,,
2334,Merit Health River Oaks,Flowood,MS,Proprietary,3,Same,Same,Above,Below,Same,Above,Below
2335,Baptist Memorial Hospital Desoto,Southaven,MS,Private,1,Same,Below,Below,Below,Same,Same,Above
2336,Alliance Health Center,Meridian,MS,Proprietary,-1,,,,,,,
2337,Mississippi Methodist Rehab Ctr,Jackson,MS,Private,-1,,,,,,,
2338,Ochsner Medical Center-hancock,Bay Saint Louis,MS,Government,4,Same,,Above,Same,Same,Same,Same
2339,Patients Choice Medical Center,Raleigh,MS,Proprietary,-1,,,,,,,
2340,Methodist Healthcare - Olive Branch Hospital,Olive Branch,MS,Private,4,Same,Same,Same,Above,Same,Above,Same
2341,University Of Mississippi Medical Center- Grenada,Grenada,MS,Government,2,Same,Above,Below,Below,Same,Above,Same
2342,S E Lackey Memorial Hospital,Forest,MS,Private,3,Same,,Above,,,Above,
2343,Monroe Regional Hospital,Aberdeen,MS,Private,-1,,,Same,,,,
2344,Stone County Hospital,Wiggins,MS,Proprietary,-1,,,Below,,,,
2345,Tallahatchie Critical Access Hospital,Charleston,MS,Government,-1,,,,Above,,Above,Same
2346,Lawrence County Hospital Cah,Monticello,MS,Government,-1,,,Below,,,,
2347,Perry County General Hosp,Richton,MS,Proprietary,-1,,,,,,,
2348,Noxubee General Critical Access Hosp,Macon,MS,Government,-1,,,,,,,
2349,Pontotoc Health Service Cah,Pontotoc,MS,Private,4,,,Above,,Same,Above,Same
2350,Field Health System,Centreville,MS,Government,3,,,Same,,Same,Above,Same
2351,Tyler Holmes Memorial Hospital Cah,Winona,MS,Private,-1,Same,,Below,,,,
2352,Baptist Medical Center Yazoo,Yazoo City,MS,Private,3,Same,,Same,,,Same,
2353,Quitman County Hospital Cah,Marks,MS,Proprietary,-1,,,,,,,
2354,Baptist Medical Center-leake,Carthage,MS,Private,3,Same,,Same,,,Same,
2355,H C Watkins Memorial Hospital Inc,Quitman,MS,Unknown,3,,,Same,,Same,Same,
2356,Simpson General Hospital Cah,Mendenhall,MS,Private,-1,,,Same,,,,
2357,North Sunflower Medical Center Cah,Ruleville,MS,Government,2,Same,,Below,,,,Below
2358,Holmes County Hospital And Clinics,Lexington,MS,Government,3,,,Same,,Same,Same,
2359,Claiborne County Hospital,Port Gibson,MS,Government,-1,Same,,Above,,,,
2360,Laird Hospital Inc,Union,MS,Private,3,,,Same,,Same,Above,Same
2361,Scott Regional Hospital Cah,Morton,MS,Private,4,,,Above,,Same,Above,Same
2362,Walthall County General Hospital Cah,Tylertown,MS,Government,-1,Same,,Same,,,,
2363,Covington County Hospital Cah,Collins,MS,Government,2,Same,,Below,,Same,Above,
2364,Jefferson Davis Community Hospital Cah,Prentiss,MS,Government,-1,,,,,,,
2365,Copiah County Medical Center,Hazlehurst,MS,Government,-1,,,Below,,,,Same
2366,Greene County Hospital Cah,Leakesville,MS,Government,-1,,,,,,,
2367,Franklin County Memorial Hospital,Meadville,MS,Government,-1,,,Above,,,Above,
2368,Bmh-calhoun,Calhoun City,MS,Private,3,Same,,Same,,Same,Above,
2369,Pearl River County Hospital & Nursing Home,Poplarville,MS,Government,-1,,,,,,Same,
2370,Choctaw Regional Medical Center,Ackerman,MS,Government,-1,,,,,,,
2371,John C Stennis Memorial Hospital,De Kalb,MS,Private,-1,,,Below,,,Same,
2372,Baptist Medical Center - Attala,Kosciusko,MS,Unknown,4,Same,,Above,,Same,Above,Same
2373,Tippah County Hospital,Ripley,MS,Government,4,Same,,Above,,Below,Above,Same
2374,Mercy Hospital Joplin,Joplin,MO,Church,3,Same,Above,Below,Same,Same,Same,Same
2375,Cooper County Community Hospital,Boonville,MO,Unknown,3,Same,,Same,,Same,Above,
2376,Ssm Health St Joseph Hospital-st Charles,Saint Charles,MO,Private,2,Below,Below,Above,Below,Same,Same,Same
2377,Mosaic Life Care At St Joseph,Saint Joseph,MO,Private,5,Same,Above,Above,Same,Same,Same,Above
2378,Bothwell Regional Health Center,Sedalia,MO,Government,3,Above,Same,Below,Below,Same,Same,Below
2379,Ssm Health St. Mary's Hospital - Jefferson City,Jefferson City,MO,Proprietary,4,Same,Above,Above,Above,Same,Above,Same
2380,Phelps County Regional Medical Center,Rolla,MO,Government,3,Below,Above,Above,Same,Same,Same,Below
2381,Mercy Hospital St Louis,Saint Louis,MO,Private,5,Above,Above,Above,Above,Same,Same,Same
2382,Northeast Regional Medical Center,Kirksville,MO,Proprietary,4,Same,Same,Above,Same,Above,Above,Same
2383,Mercy Hospital Jefferson,Festus,MO,Private,3,Same,Above,Below,Below,Same,Same,Same
2384,Texas County Memorial Hospital,Houston,MO,Unknown,3,Same,,Below,Same,Below,Same,Same
2385,Hannibal Regional Hospital,Hannibal,MO,Private,3,Same,Above,Same,Same,Same,Above,Same
2386,Research Medical Center,Kansas City,MO,Proprietary,2,Same,Above,Below,Below,Above,Above,Above
2387,Barnes Jewish Hospital,Saint Louis,MO,Unknown,2,Above,Below,Below,Above,Same,Below,Above
2388,Bates County Memorial Hospital,Butler,MO,Government,3,Same,,Below,Same,Same,Above,
2389,Cox Medical Centers,Springfield,MO,Private,3,Below,Above,Above,Below,Same,Below,Same
2390,Capital Region Medical Center,Jefferson City,MO,Private,3,Below,Same,Above,Above,Above,Above,Same
2391,Truman Medical Center Hospital Hill,Kansas City,MO,Private,1,Same,Below,Below,Below,Below,Below,Below
2392,Ssm Health St Francis Hospital - Maryville,Maryville,MO,Church,4,Same,Same,Above,Above,Same,Above,Same
2393,Mercy Hospital Washington,Washington,MO,Private,4,Same,Above,Above,Below,Same,Above,Same
2394,Cameron Regional Medical Center,Cameron,MO,Private,2,Same,Same,Below,Below,Same,Above,Same
2395,Mercy Hospital Lebanon,Lebanon,MO,Church,3,Same,Same,Same,Same,Same,Same,Same
2396,Nevada Regional Medical Center,Nevada,MO,Government,3,Same,,Above,Same,Same,Above,Same
2397,Saint Lukes North Hospital,Kansas City,MO,Private,4,Same,Same,Same,Above,Same,Same,Same
2398,Ssm Health St. Mary's Hospital-audrain,Mexico,MO,Private,3,Same,Above,Above,Same,Same,Above,Same
2399,Mercy Hospital Springfield,Springfield,MO,Private,5,Same,Above,Above,Below,Below,Same,Above
2400,Boone Hospital Center,Columbia,MO,Unknown,5,Same,Above,Above,Above,Same,Same,Same
2401,Pemiscot County Memorial Hospital,Hayti,MO,Government,3,Same,,Below,,Below,Above,
2402,Moberly Regional Medical Center,Moberly,MO,Proprietary,3,Same,Same,Below,Same,Same,Above,
2403,St Anthony's Medical Center,Saint Louis,MO,Private,1,Same,Below,Below,Below,Same,Same,Same
2404,Ozarks Medical Center,West Plains,MO,Unknown,2,Below,Above,Above,Same,Same,Same,Below
2405,Southeast Health Center Of Ripley County,Doniphan,MO,Private,3,,,Same,,Same,Same,
2406,Ssm Health St Clare Hospital - Fenton,Fenton,MO,Private,4,Same,Below,Above,Above,Same,Same,Same
2407,St Joseph Medical Center,Kansas City,MO,Private,4,Above,Above,Same,Below,Same,Above,Same
2408,Ssm Health St Mary's Hospital - St Louis,Richmond Heights,MO,Private,2,Above,Below,Above,Same,Same,Same,Same
2409,Cox Medical Center Branson,Branson,MO,Private,3,Same,Same,Above,Same,Same,Below,Same
2410,Centerpoint Medical Center,Independence,MO,Proprietary,2,Below,Above,Below,Same,Same,Same,Same
2411,North Kansas City Hospital,North Kansas City,MO,Government,3,Same,Above,Below,Above,Same,Above,Below
2412,Western Missouri Medical Center,Warrensburg,MO,Government,3,Same,Above,Below,Same,Same,Same,Same
2413,Truman Medical Center Lakewood,Kansas City,MO,Private,4,,Above,Above,Same,Same,Same,
2414,Ssm Health Depaul Hospital St Louis,Bridgeton,MO,Private,2,Above,Same,Below,Below,Same,Below,Same
2415,Ssm Health Saint Louis University Hospital,Saint Louis,MO,Proprietary,1,Same,Below,Below,Below,Same,Below,Same
2416,Missouri Baptist Medical Center,Town And Country,MO,Private,4,Same,Above,Above,Above,Same,Same,Above
2417,Southeasthealth,Cape Girardeau,MO,Private,1,Below,Below,Below,Same,Same,Above,Below
2418,Missouri Delta Medical Center,Sikeston,MO,Unknown,2,Same,Below,Above,Same,Same,Above,Same
2419,Poplar Bluff Regional Medical Center,Poplar Bluff,MO,Proprietary,1,Below,Above,Below,Below,Same,Same,Below
2420,Freeman Health System - Freeman West,Joplin,MO,Private,2,Below,Below,Above,Below,Below,Below,Same
2421,St Lukes Hospital Of Kansas City,Kansas City,MO,Government,4,Above,Below,Below,Above,Same,Same,Above
2422,University Of Missouri Health Care,Columbia,MO,Government,1,Below,Below,Below,Above,Above,Same,Same
2423,Fitzgibbon Hospital,Marshall,MO,Private,3,Same,Same,Same,Same,Same,Above,Same
2424,Southeasthealth Center Of Stoddard County,Dexter,MO,Private,2,Same,,Same,Below,Below,Same,Same
2425,Barnes-jewish West County Hospital,Creve Coeur,MO,Private,3,,Above,Below,Same,Same,Same,Same
2426,Parkland Health Center,Farmington,MO,Private,5,Same,Above,Above,Same,Same,Same,Above
2427,Golden Valley Memorial Hospital,Clinton,MO,Government,3,Same,Same,Same,Same,Same,Same,Above
2428,St Luke's Des Peres Hospital,Saint Louis,MO,Proprietary,2,Same,Above,Below,Same,Same,Same,
2429,Liberty Hospital,Liberty,MO,Government,4,Same,Above,Same,Same,Same,Above,Same
2430,St Lukes Hospital,Chesterfield,MO,Private,5,Above,Above,Above,Above,Same,Same,Same
2431,Christian Hospital Northeast-northwest,Saint Louis,MO,Private,1,Same,Below,Below,Below,Same,Below,Same
2432,Saint Francis Medical Center,Cape Girardeau,MO,Church,3,Below,Above,Below,Above,Same,Above,Below
2433,Lake Regional Health System,Osage Beach,MO,Unknown,3,Below,Above,Above,Same,Above,Above,Above
2434,Lee's Summit Medical Center,Lees Summit,MO,Proprietary,3,Same,Above,Below,Above,Same,Above,Same
2435,Barnes-jewish St Peters Hospital,Saint Peters,MO,Unknown,2,Same,Below,Below,Same,Same,Below,Above
2436,St Mary's Medical Center,Blue Springs,MO,Church,4,Above,Above,Below,Below,Same,Above,Same
2437,Citizens Memorial Hospital,Bolivar,MO,Government,2,Below,Above,Same,Same,Same,Above,Same
2438,Ssm Health Saint Joseph Hospital-lake Saint Louis,Lake Saint Louis,MO,Church,4,Same,Above,Above,Above,Same,Same,Same
2439,Fulton Medical Center Llc,Fulton,MO,Private,-1,,,,,Same,Same,
2440,St Alexius Hospital,Saint Louis,MO,Proprietary,2,,Below,Below,Same,Same,Below,
2441,Belton Regional Medical Center,Belton,MO,Private,3,Same,Above,Below,Below,Above,Above,Same
2442,Saint Luke's East Lee's Summit Hospital,Lees Summit,MO,Private,4,Above,Above,Below,Above,Same,Same,Above
2443,Progress West Hospital,O Fallon,MO,Private,4,Same,Above,Same,Above,Same,Same,Same
2444,Black River Community Medical Center,Poplar Bluff,MO,Private,3,,,Below,,Same,Above,Below
2445,Ellett Memorial Hospital,Appleton City,MO,Government,-1,,,,,,,
2446,Madison Medical Center,Fredericktown,MO,Unknown,-1,,,,,,,
2447,Community Hospital Association,Fairfax,MO,Private,4,Same,,Above,Above,,,
2448,Putnam County Memorial Hospital,Unionville,MO,Unknown,-1,,,,,,,
2449,Sullivan County Memorial Hospital,Milan,MO,Government,-1,,,,,Same,Above,
2450,Pershing Memorial Hospital,Brookfield,MO,Private,-1,Same,,Above,,,,
